year,semester,entry_status,time_to_grad,count,ethnicity,gender,residency,college
1983,Fall,New Freshmen,4,5,Other Hispanic/Latino,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,Other Hispanic/Latino,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,4,1,Other Hispanic/Latino,Male,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,4,4,Other Hispanic/Latino,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,2,Pacific Islander,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,2,South Asian,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,South Asian,Female,Resident,Clg of Chemistry
1983,Fall,New Freshmen,4,1,South Asian,Female,Resident,Clg of Engineering
1983,Fall,New Freshmen,4,9,South Asian,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,South Asian,Female,Resident,NA
1983,Fall,New Freshmen,4,2,South Asian,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,4,3,South Asian,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,White,Female,Nonresident,Clg of Chemistry
1983,Fall,New Freshmen,4,1,White,Female,Nonresident,Clg of Environmental Design
1983,Fall,New Freshmen,4,15,White,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,White,Female,Nonresident,Clg of Natural Resources
1983,Fall,New Freshmen,4,4,White,Female,Resident,Clg of Chemistry
1983,Fall,New Freshmen,4,16,White,Female,Resident,Clg of Engineering
1983,Fall,New Freshmen,4,7,White,Female,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,4,336,White,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,14,White,Female,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,4,1,White,Female,Resident,NA
1983,Fall,New Freshmen,4,1,White,Male,Nonresident,Clg of Chemistry
1983,Fall,New Freshmen,4,9,White,Male,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,4,2,White,Male,Nonresident,Clg of Environmental Design
1983,Fall,New Freshmen,4,29,White,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4,13,White,Male,Resident,Clg of Chemistry
1983,Fall,New Freshmen,4,56,White,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,4,3,White,Male,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,4,238,White,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,12,White,Male,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,4,2,White,Male,Resident,NA
1983,Fall,New Freshmen,4.5,1,African American/Black,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,1,African American/Black,Female,Resident,Clg of Engineering
1983,Fall,New Freshmen,4.5,7,African American/Black,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,1,African American/Black,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,4.5,9,African American/Black,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,1,Chinese,Female,Nonresident,Clg of Chemistry
1983,Fall,New Freshmen,4.5,2,Chinese,Female,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,4.5,4,Chinese,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,3,Chinese,Female,Resident,Clg of Chemistry
1983,Fall,New Freshmen,4.5,5,Chinese,Female,Resident,Clg of Engineering
1983,Fall,New Freshmen,4.5,56,Chinese,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,1,Chinese,Female,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,4.5,1,Chinese,Female,Resident,NA
1983,Fall,New Freshmen,4.5,1,Chinese,Male,Resident,Clg of Chemistry
1983,Fall,New Freshmen,4.5,17,Chinese,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,4.5,2,Chinese,Male,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,4.5,41,Chinese,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,1,Chinese,Male,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,4.5,1,Chinese,Male,Resident,NA
1983,Fall,New Freshmen,4.5,1,Decline to State,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,2,Decline to State,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,2,Decline to State,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,1,Filipino,Female,Resident,Clg of Engineering
1983,Fall,New Freshmen,4.5,1,Filipino,Female,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,4.5,17,Filipino,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,2,Filipino,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,4.5,9,Filipino,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,6,International,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,1,International,Female,Nonresident,Clg of Natural Resources
1983,Fall,New Freshmen,4.5,3,International,Male,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,4.5,1,International,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,1,International,Male,Nonresident,NA
1983,Fall,New Freshmen,4.5,3,Japanese,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,3,Japanese,Female,Resident,Clg of Engineering
1983,Fall,New Freshmen,4.5,16,Japanese,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,1,Japanese,Female,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,4.5,1,Japanese,Male,Nonresident,Clg of Chemistry
1983,Fall,New Freshmen,4.5,1,Japanese,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,6,Japanese,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,4.5,6,Japanese,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,2,Japanese,Male,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,4.5,3,Korean,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,7,Korean,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,1,Korean,Male,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,4.5,8,Korean,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,4.5,7,Korean,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,1,Mexican American/Chicano,Female,Nonresident,Clg of Chemistry
1983,Fall,New Freshmen,4.5,1,Mexican American/Chicano,Female,Resident,Clg of Chemistry
1983,Fall,New Freshmen,4.5,8,Mexican American/Chicano,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,7,Mexican American/Chicano,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,1,Native American/Alaska Native,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,4.5,1,Native American/Alaska Native,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,1,Other,Female,Resident,Clg of Chemistry
1983,Fall,New Freshmen,4.5,1,Other,Female,Resident,Clg of Engineering
1983,Fall,New Freshmen,4.5,5,Other,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,2,Other,Female,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,4.5,1,Other,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,3,Other,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,4.5,7,Other,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,1,Other Asian,Female,Resident,Clg of Chemistry
1983,Fall,New Freshmen,4.5,4,Other Asian,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,1,Other Asian,Female,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,4.5,2,Other Asian,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,4.5,1,Other Asian,Male,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,4.5,3,Other Asian,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,6,Other Hispanic/Latino,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,1,Other Hispanic/Latino,Female,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,4.5,1,Other Hispanic/Latino,Male,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,4.5,3,Other Hispanic/Latino,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,1,Pacific Islander,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,1,Pacific Islander,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,3,South Asian,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,2,South Asian,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,4.5,1,South Asian,Male,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,4.5,12,White,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,3,White,Female,Resident,Clg of Chemistry
1983,Fall,New Freshmen,4.5,7,White,Female,Resident,Clg of Engineering
1983,Fall,New Freshmen,4.5,2,White,Female,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,4.5,137,White,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,10,White,Female,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,4.5,1,White,Female,Resident,NA
1983,Fall,New Freshmen,4.5,4,White,Male,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,4.5,19,White,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,9,White,Male,Resident,Clg of Chemistry
1983,Fall,New Freshmen,4.5,46,White,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,4.5,4,White,Male,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,4.5,172,White,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4.5,9,White,Male,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,5,3,African American/Black,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,African American/Black,Female,Resident,Clg of Chemistry
1983,Fall,New Freshmen,5,2,African American/Black,Female,Resident,Clg of Engineering
1983,Fall,New Freshmen,5,1,African American/Black,Female,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,5,26,African American/Black,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,African American/Black,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,5,5,African American/Black,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,5,17,African American/Black,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,Chinese,Female,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,5,2,Chinese,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,Chinese,Female,Resident,Clg of Chemistry
1983,Fall,New Freshmen,5,6,Chinese,Female,Resident,Clg of Engineering
1983,Fall,New Freshmen,5,57,Chinese,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,3,Chinese,Female,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,5,1,Chinese,Female,Resident,NA
1983,Fall,New Freshmen,5,2,Chinese,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,Chinese,Male,Resident,Clg of Chemistry
1983,Fall,New Freshmen,5,12,Chinese,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,5,1,Chinese,Male,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,5,30,Chinese,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,2,Decline to State,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,5,4,Decline to State,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,Decline to State,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,5,1,Decline to State,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,Decline to State,Male,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,5,2,Filipino,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,Filipino,Female,Nonresident,NA
1983,Fall,New Freshmen,5,18,Filipino,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,Filipino,Male,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,5,1,Filipino,Male,Resident,Clg of Chemistry
1983,Fall,New Freshmen,5,2,Filipino,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,5,7,Filipino,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,6,International,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,5,3,International,Female,Nonresident,Clg of Natural Resources
1983,Fall,New Freshmen,5,2,International,Male,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,5,5,International,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,Japanese,Female,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,5,1,Japanese,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,5,16,Japanese,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,3,Japanese,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,5,3,Japanese,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,5,1,Japanese,Male,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,5,7,Japanese,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,Japanese,Male,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,5,13,Korean,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,Korean,Female,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,5,1,Korean,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,Korean,Male,Resident,Clg of Chemistry
1983,Fall,New Freshmen,5,5,Korean,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,5,1,Korean,Male,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,5,13,Korean,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,21,Mexican American/Chicano,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,4,Mexican American/Chicano,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,5,4,Mexican American/Chicano,Male,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,5,11,Mexican American/Chicano,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,Mexican American/Chicano,Male,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,5,1,Native American/Alaska Native,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,5,2,Native American/Alaska Native,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,Native American/Alaska Native,Male,Resident,NA
1983,Fall,New Freshmen,5,1,Other,Female,Resident,Clg of Engineering
1983,Fall,New Freshmen,5,6,Other,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,Other,Female,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,5,1,Other,Male,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,5,2,Other,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,5,4,Other,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,5,4,Other,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,Other,Male,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,5,10,Other Asian,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,Other Asian,Male,Resident,Clg of Chemistry
1983,Fall,New Freshmen,5,2,Other Asian,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,5,7,Other Asian,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,Other Hispanic/Latino,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,Other Hispanic/Latino,Female,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,5,8,Other Hispanic/Latino,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,Other Hispanic/Latino,Male,Resident,Clg of Chemistry
1983,Fall,New Freshmen,5,1,Other Hispanic/Latino,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,5,1,Other Hispanic/Latino,Male,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,5,4,Other Hispanic/Latino,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,Other Hispanic/Latino,Male,Resident,NA
1983,Fall,New Freshmen,5,1,Pacific Islander,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,Pacific Islander,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,South Asian,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,South Asian,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,5,1,South Asian,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,South Asian,Male,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,5,1,South Asian,Male,Resident,NA
1983,Fall,New Freshmen,5,12,White,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,5,9,White,Female,Resident,Clg of Engineering
1983,Fall,New Freshmen,5,1,White,Female,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,5,135,White,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,12,White,Female,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,5,1,White,Female,Resident,NA
1983,Fall,New Freshmen,5,1,White,Male,Nonresident,Clg of Chemistry
1983,Fall,New Freshmen,5,6,White,Male,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,5,1,White,Male,Nonresident,Clg of Environmental Design
1983,Fall,New Freshmen,5,33,White,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,5,1,White,Male,Nonresident,Clg of Natural Resources
1983,Fall,New Freshmen,5,8,White,Male,Resident,Clg of Chemistry
1983,Fall,New Freshmen,5,44,White,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,5,2,White,Male,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,5,190,White,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5,7,White,Male,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,5,3,White,Male,Resident,NA
1983,Fall,New Freshmen,5.5,8,African American/Black,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5.5,1,African American/Black,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,5.5,1,African American/Black,Male,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,5.5,8,African American/Black,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5.5,2,Chinese,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,5.5,7,Chinese,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,5.5,2,Chinese,Female,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,5.5,1,Chinese,Male,Resident,Clg of Chemistry
1983,Fall,New Freshmen,5.5,1,Chinese,Male,Resident,Clg of Engineering
